Order date;Catalog channel name;Catalog name;Catalog siteId;Order number;Order SKU;Histo SKU price;Order price;Difference price;Status price
20/11/2024;2KINGS;2KINGS_FR;11246;676341;SHAR200BKW;62,36;62,36;0;ISO
20/11/2024;2KINGS;2KINGS_FR;11246;676062;MVE0100;202,99;202,99;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675680;OFAWM2251;20,92;20,92;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675683;MEL4006508192830;16,92;16,92;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675688;ALC3700601416459;25,78;25,78;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;676009;64756;14,92;14,92;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675675;BAB3030050175721;57,4;57,4;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675773;CHA5411478548577;27,34;27,34;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;674867;DEL8004399100985;98,88;98,88;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675840;EDA3086960263355;26,09;26,09;0;ISO
19/11/2024;2KINGS;2KINGS_FR;11246;675914;EDA3086960229702;34,54;34,54;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675627;BOS8710364082575;76,2;76,2;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675316;AEG4058546323776;34,67;34,67;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675210;13731GANT;54,71;54,71;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675587;SAM8806092519411;248,19;248,19;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675453;DOM5411397016072;38,59;38,59;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675374;DOM3523930046407;40,01;40,01;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675310;LEXJC598FZI1;26,54;26,54;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675441;MB678060;25,66;25,66;0;ISO
18/11/2024;2KINGS;2KINGS_FR;11246;675484;MAS3520190942944;98,59;98,59;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674922;MAS3520190942944;98,59;98,59;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674860;OFAWM2251;20,92;20,92;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674841;LEXRL800D;24,8;24,8;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674844;DEL8004399252738;91,17;91,17;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;675021;DOM3523930043819;43,97;43,97;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674859;REMHC5810;42,64;42,64;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;675139;342646;35,67;35,67;0;ISO
17/11/2024;2KINGS;2KINGS_FR;11246;674804;SCS3701085202453;21,09;21,09;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674732;FBA3296580367658;22,67;22,67;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674537;BROTHERRL417;87,54;87,54;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674755;BROTHERRL417;87,54;87,54;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674506;5132002674;30,26;30,26;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674501;13731GANT;54,71;54,71;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674746;ROWAC476901;67,26;67,26;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674642;DCH7993ERBC;72,7;72,7;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674498;DELHMP1500;79,89;79,89;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674810;DRE8710364082605;115,93;115,93;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674664;AUC4053423232592;74,64;74,64;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674751;AUC5035048697955;26,88;26,88;0;ISO
16/11/2024;2KINGS;2KINGS_FR;11246;674354;VT3417765412059;30,23;30,23;0;ISO
